name_adress,house,flat,sqrt_m,number_date,
"11-этажный 100-квартирный (проч.мат.) дом, ул. Суздальская, д. 22, к. 1
ООО ""СЗ ""Фаворит"" ЭКОНОМ",1,100,4662,"№ 39-RU39301000-495-2020
от 24.12.2021",
"10-этажный 275-квартирный (проч.мат.) дом, ул. Интернациональная, д. 16
ООО ""СЗ ""Планета"" ЭКОНОМ",1,275,14331,"№ 39-RU39301000-567-2020
от 24.12.2021",
"9-этажный 45-квартирный (проч.мат.) дом, ул. Батальная, д. 71В
ООО ""СЗ ""А-ПЛЮС"" ЭКОНОМ",1,45,2356,"№ 39-RU39301000-374-2019
от 24.12.2021",
"17-этажный 272-квартирный (проч.мат.) дом, ул. Батальная, д. 104
ООО ""СЗ ""Балтийский"" ЭКОНОМ",1,272,13598,"№ 39-RU39301000-181-2017
от 17.01.2022",
"10-этажный 210-квартирный (панельн.) дом, ул. Белгородская, д. 5, к. 1
ООО ""СЗ ""КПД Монтаж"" ЭКОНОМ",1,210,12066,"№ 39-RU39301000-620-2020
от 27.01.2022",
"10-этажный 108-квартирный (кирп.) дом, ул. Новгородская, д. 3А, к. 6
ООО ""Стройинвест"" ЭКОНОМ",1,108,5442,"№ 39-RU39301000-176-2018
от 18.02.2022",
"10-этажный 180-квартирный (кирп.) дом, ул. Новгородская, д. 3А, к. 5
ООО ""Стройинвест"" ЭКОНОМ",1,180,9445,"№ 39-RU39301000-177-2018
от 18.02.2022",
"11-этажный 140-квартирный (проч.мат.) дом, ул. Генерала Буткова, д. 20
ООО ""Л-Клуб"" ЭКОНОМ",1,140,8570,"№ 39-RU39301000-030-2018
от 22.02.2022",
"1,4,6,9-этажный 40-квартирный (проч.мат.) дом, ул. Генерала Буткова, д. 20, к. 1
ООО ""Л-Клуб"" ЭКОНОМ",1,40,2042,"№ 39-RU39301000-030-2018
от 22.02.2022",
"5-этажный 34-квартирный (проч.мат.) дом, ул. Нарвская, д. 101
ООО ""Лидерстрой"" ЭКОНОМ",1,34,1877,"№ 39-RU39301000-410-2020
от 02.03.2022",
"8-этажный 96-квартирный (проч.мат.) дом, ул.Красносельская, д. 31А
ООО ""БАЛТСТРОЙ-2016"" ЭКОНОМ (есть 1 кв. 187,5 кв.м.)",1,96,5798,"№ 39-RU39301000-038-2016
от 23.03.2022",
"11-этажный 166-квартирный (проч.мат.) дом ул.Героя России Мариенко, д. 3, ГП 1, 1 этап
АО ""СЗ ""Жилищное и социальное строительство Калининградской области № 1"" ",1,166,9532,"№ 39-RU39301000-481-2019
от 08.04.2022",
"11-этажный 166-квартирный (проч.мат.) дом ул.Героя России Мариенко, д. 3, ГП 1, 2 этап
АО ""СЗ ""Жилищное и социальное строительство Калининградской области № 1"" ",0,166,9509,,
"5-этажный 10-квартирный (проч.мат.) дом ул. Чкалова, д. 50                                         ООО ""Отрадное Плюс""",1,10,715,"№ 39-RU39301000-097-2018
от 11.05.2022",
"4-этажный 28-квартирный (проч.мат) дом  г. Калининград, ул. Парковая, д. 23                     Миронов В.В.",1,28,1178,39-RU39301000-398-2019                         от 30.05.2022,
"4-этажный 64-квартирный (проч.мат.) дом № 1А по ул. Ключевая-Таганрогская-Родниковая                                                                                                                       ООО ""СЗ ""Олимп""",1,64,4534,"№ 39-RU39301000-016-2016
от 02.06.2022",
"4-этажный 44-квартирный (проч.мат.) дом № 1Б по ул. Ключевая-Таганрогская-Родниковая                                                                                                                       ООО ""СЗ ""Олимп""",1,44,3491,,
"8-этажный 196-квартирный (проч.мат) дом по ул.А. Невского, 192, дом № 1 по ПЗУ                       ЖСК ""Ганза 4""",1,196,13500,"№ 39-RU39301000-480-2019
от 06.06.2022",
"8-этажный 168-квартирный (проч.мат) дом по ул.А. Невского, 192, дом № 2 по ПЗУ                       ЖСК ""Ганза 4""",1,168,11852,,
"10-этажный 89-квартирный (проч.мат.) дом по ул. Артиллерийской, д. 85А, к.1                                    ООО ""Арт-Строй""",1,89,5910,"№ 39-RU39301000-228-2018
от 07.06.2022",
"4-этажный 12-квартирный(проч.мат.) дом по ул.Генерала Раевского, д.5                                    ООО СЗ ""Кёнигавтострой""",1,12,1283,"№ 39-RU39301000-453-2019
от 08.06.2022",
"5-8-этажный 331-квартирный (проч.мат.) дом по ул. Октябрьская, д. 12                                                  ООО ""СЗ ""Эталон-Строй""",1,331,27782,"№ 39-RU39301000-044-2019
от 10.06.2022",
